Name,Description,Audience,Fecha,Zone,Month,Year,NumberPeople,Duration
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/18/2016,Nacional,8,2016,30,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Capacitación en manejo de la plataforma ,Entidades nacionales ,08/19/2016,Nacional,8,2016,9,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Ministerio de Defensa Nacional, SHT, Portal Marítimo de Colombia, Ejercito Nacional de Colombia, Senado-planeacion,DNP,Fondo Nacional de Garantías,Corporación Colombia Digital,Unidad de Planificación Rural Agropecuaria,Unidad Nacional para la Gestión del Riesgo de Desastres, Alcaldia Mayor de Bogota, ICFES, Departamento Prosperidad Social, Ministerio de Salud y Protección Social, Fondo Rotatorio de la Policía Nacional, INVIMA, Ministerio de Agricultura, Caja de Retiro de las FF.MM, Corporación de la Industria Aeronáutica Colombiana, Policia Nacional, Hospital Militar, Fondo Nacional del Ahorro, INDUMIL, Banco de la Republica, Fuerza Aerea, Ministerio de Relaciones Exteriores, DANE, DANF, Caja de Sueldos de Retiro de la Policía Nacional, Ministerio de Vivienda Ciudad y Territorio",06/08/2016,Nacional,6,2016,59,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Uso y aprovechamiento de la plataforma de datos abiertos ,Colombia Digital /Mintic ,06/03/2016,Nacional,6,2016,2,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Uso y aprovechamiento de la plataforma de datos abiertos ,MinTIC,05/31/2016,Nacional,5,2016,2,2
ETL para desarrolladores ,Uso y aprovechamiento de la plataforma de datos abiertos ,"MinTIC, Corporación Colombia Digital, OCYT",05/26/2016,Nacional,5,2016,30,4
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,Ministerio de Relaciones Exteriores,05/20/2016,Nacional,5,2016,4,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"ADSI, SENA",05/13/2016,Nacional,5,2016,21,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Superintendencia Financiera de Colombia, Contraloria General de la Republica de Colombia, Metrovivienda, Instituto Colombiano Agropecuario, Hospita del Sur, ACR, ICR, Fondo Nacional del Ahorro, Jardín Botánico de Bogotá",05/12/2016,Nacional,5,2016,15,2
"""Cultura de Innovación y Lucha contra la corrupción"" ",Taller de datos abiertos ,Entidades territoriales Putumayo,05/05/2016,Territorial,5,2016,53,4
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Taller de datos abiertos ,Entidades territoriales Caldas,05/04/2016,Territorial,5,2016,44,4
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Sensibilización general datos abiertos ,Auditoría general de la República,04/29/2016,Nacional,4,2016,5,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Tour de Estudios de Datos Abiertos de Gobierno ,"ANTAI, UNDESA, Gobierno en Línea",04/29/2016,Nacional,4,2016,4,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Taller de datos abiertos ,Entidades territoriales Magdalena,04/29/2016,Territorial,4,2016,15,4
"Primer visita territorial 2016 -  accesibilidad, seguridad, formulario  y taller de publicación de datos ",Taller de datos abiertos ,Entidades territoriales Meta,04/28/2016,Territorial,4,2016,53,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Taller de datos abiertos ,Entidades territoriales Casanare,04/26/2016,Territorial,4,2016,38,4
Introducción a los datos abiertos para la academia ,Taller de datos abiertos ,Entidades territoriales Cundinamarca,04/26/2016,Territorial,4,2016,90,4
"Sensibilización sobre datos abiertos de gobierno, usos, oportuniadades de la entidad ",Taller de datos abiertos ,Entidades territoriales Vichada,04/26/2016,Territorial,4,2016,2,4
Tour de Estudios de Datos Abiertos de Gobierno - Experiencia de Colombia ,Datos Abiertos - generalidades,Universidad Javeriana - Eventos AppSpace,04/23/2016,Territorial,4,2016,50,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Datos Abiertos - generalidades,Policía de Cundinamarca,04/06/2016,Territorial,4,2016,15,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/25/2016,Nacional,8,2016,53,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,08/26/2016,Nacional,8,2016,4,2
"Sensibilización sobre datos abiertos de gobierno, usos, oportuniadades y retos para la academia",Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,09/08/2016,Nacional,9,2016,37,2
"Sensibilización sobre datos abiertos de gobierno, usos, oportuniadades de la entidad ",Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,09/15/2016,Nacional,9,2016,24,2
Uso y aprovechamiento de la plataforma de datos abiertos ,Capacitación en manejo de la plataforma ,Entidades nacionales y territoriales ,09/22/2016,Nacional,9,2016,51,2
Uso y aprovechamiento de la plataforma de datos abiertos ,Taller de datos abiertos ,Entidades territoriales Valle,04/19/2016,Territorial,4,2016,1,4
Registro en la Plataforma de datos.gov.co,Taller de datos abiertos ,Entidades territoriales Sucre,04/19/2016,Territorial,4,2016,50,4
Uso y aprovechamiento de la plataforma de datos abiertos ,Taller de datos abiertos ,Entidades territoriales Cordoba,04/21/2016,Territorial,4,2016,27,4
Registro en la Plataforma de datos.gov.co,Taller de datos abiertos ,Entidades territoriales Cauca,04/21/2016,Territorial,4,2016,28,4
Capacitacion Que Publicar,Taller de datos abiertos ,Entidades territoriales Caqueta,04/21/2016,Territorial,4,2016,25,4
Capacitacion Como Publicar Datos,Taller de datos abiertos ,Entidades territoriales Cesar,04/22/2016,Territorial,4,2016,15,4
El valor de los datos abiertos uso y aprovechamiento ,Taller de datos abiertos ,Entidades territoriales Risaralda,04/26/2016,Territorial,4,2016,25,4
Apertura y aprovechamiento de datos abiertos ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Ministerio de Educación Nacional de Colombia, ICFES, INCE, Fondo de Desarrollo de la Educación Superior,Instituto Nacional para Sordos, ICETEX",07/13/2016,Nacional,7,2016,20,2
Charla sobre datos abiertos y periodismo ,Uso y aprovechamiento de la plataforma de datos abiertos ,Medicina Legal - Instituto Colombiano de Bienestar Familiar ,09/19/2016,Nacional,9,2016,20,2
Capacitación USPEC - Datos Abiertos ,Iniciativa de datos abiertos ,Mujeres científicas de Datos,08/31/2017,Territorial,8,2017,20,4
Capacitación en uso de la plataforma - Datathon Latam 2017 ,"¿Qué son datos abiertos? Iniciativa de Colombia, Cómo hacer innovación a partir de datos ",Estudiantes Politécnico GranColombiano ,09/29/2017,Nacional,9,2017,20,2
Oportunidades de apertura y uso de datos abiertos sector justicia ,"Conocer los estándares, lineamientos, guías, marco regulatorio e instrumentos de la Estrategia Gobierno en línea, y el concepto de acceso a la información, monitoreo y evaluación de la Estrategia. Así mismo, en qué consiste la plataforma de trámites y servicios del Estado Colombiano Sí Virtual y la iniciativa de Datos Abiertos del Gobierno.",Gobierno de Guatemala,05/10/2017,Internacional,5,2017,10,2
Datos Abiertos - Bootcamp Woman in data ,Taller virtual sobre construcción de ETL desde el portal de datos abiertos del Estado Colombiano ,Entidades participantes del reto de ETL de máxima velocidad ,08/08/2017,Nacional,8,2017,16,2
Taller sobre aprovechamiento de uso de plataforma de datos abiertos,Mentoría en datos abiertos - Dathaton Latam ,Participantes en Datathon Latam ,06/30/2017,Internacional,6,2017,50,1
Datos abiertos para desarrolladores,Capacitación en datos abiertos,Alta Consejería TIC de Bogotá ,06/29/2017,Territorial,6,2017,30,4
Charla Asistencia técnica en datos abiertos a nodos regionales ,Sensibilización a entidades del sector ambiente sobre la pertinencia de abrir y usar datos que ese sector produce ,Entidades adscritas y vinculadas ministerio de ambiente ,06/21/2017,Territorial,6,2017,25,4
Curso virtual sobre datos abiertos ,Identificar los datos para apertura y uso de esta entidad y del sector penitenciario colombiano ,USPEC - INPEC,03/17/2017,Nacional,3,2017,8,2
Charla Asistencia técnica en datos abiertos a nodos regionales ,Conocer las funcionalidades que ofrece la plataforma Socrata para hacer uso de la API en el marco del Datathon latam 2017 ,Científicas de datos ,05/24/2017,Nacional,5,2017,180,2
Datos abiertos como fuente de innovación ,Qué son los datos abiertos y cuáles datos del sector pueden ser puestos a disposición de los usuarios ,Fiscalía General de la nación ,06/09/2017,Nacional,6,2017,20,2
Datos como derecho y oportunidad ,"Datos abiertos, qué son y qué ofrece la plataforma de Colombia para desarrolladores y analistas de datos",Mujeres científicas de datos ,07/13/2017,Territorial,7,2017,35,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Manejo de herramientas de la plataforma www.datos.gov.co enfocadas en datos del medio ambiente,Entidades adscritas y vinculadas sector Medio Ambiente ,08/04/2017,Nacional,8,2017,15,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",uso de las funcionalidades de desarrollo de la plataforma de datos abeirtos ,Entidades de orden nacional,06/29/2017,Nacional,6,2017,25,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Descripción de iniciativa de datos abiertos y datos disponibles para la paz ,Líderes defensores de derechos humanos ,08/11/2017,Territorial,8,2017,20,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",El objetivo de estos cursos es fortalecer las capacidades de los servidores públicos para lograr la excelencia en la gestión pública para empoderar y generar confianza en los ciudadanos gracias al uso de las TIC. El curso proveerá las herramientas conceptuales y prácticas de la estrategia de Gobierno en Línea en Colombia que permitirán a los estudiantes liderar y facilitar la implementación en sus entidades.,Entidades de orden nacional,06/01/2017,Nacional,6,2017,544,2
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ",Taller presencial Datos para derechos humanos,Observatorio de derechos humanos ,08/25/2017,Territorial,8,2017,30,4
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ","Cómo los datos abiertos son punto de partida para propiciar innovación desde distintas miradas: emprendimiento, investigación, periodismo, etc. ",Estudiantes universitarios,09/26/2017,Nacional,9,2017,34,3
"Primer visita territorial 2016 -  Pub, accesibilidad, seguridad, formulario  y taller de publicación de datos ","Capacitación para estudiantes inscritos a Datos a la U, que trata sobre la importancia de reconoer el derecho de acceso a la información de los ciudadanos. ",Estudiantes universitarios ,09/14/2017,Nacional,9,2017,17,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,"capacitación en Manejo de datos abiertos y datos sensibles, en el Ministerio de Educación Nacional.",Funcionarios Ministerio de Educación ,04/25/2017,Nacional,4,2017,30,2
